"DXXPT26X.Code.or.Value","DXXPT26X.Value.Description","DXXPT26X.Count","DXXPT26X.Cumulative","DXXPT26X.Skip.to.Item"
"640.6 to 1225.1","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
