"DR2TBCAR.Code.or.Value","DR2TBCAR.Value.Description","DR2TBCAR.Count","DR2TBCAR.Cumulative","DR2TBCAR.Skip.to.Item"
"0 to 42791","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
