"LBXPS4.Code.or.Value","LBXPS4.Value.Description","LBXPS4.Count","LBXPS4.Cumulative","LBXPS4.Skip.to.Item"
"0.04 to 42.54","Range of Values",1629,1629,NA
".","Missing",263,1892,NA
