"AUDTYR03.Code.or.Value","AUDTYR03.Value.Description","AUDTYR03.Count","AUDTYR03.Cumulative","AUDTYR03.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
