"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"46.5 to 106.8","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
