"AUQ020.Code.or.Value","AUQ020.Value.Description","AUQ020.Count","AUQ020.Cumulative","AUQ020.Skip.to.Item"
"1","Yes",478,478,NA
"2","No",3886,4364,NA
"7","Refused",6,4370,NA
"9","Don't know",2,4372,NA
".","Missing",210,4582,NA
