"OSQ170.Code.or.Value","OSQ170.Value.Description","OSQ170.Count","OSQ170.Cumulative","OSQ170.Skip.to.Item"
"1","Yes",256,256,""
"2","No",3416,3672,"OSQ200"
"7","Refused",0,3672,"OSQ200"
"9","Don't know",143,3815,"OSQ200"
".","Missing",0,3815,""
