"MPQ120u.Code.or.Value","MPQ120u.Value.Description","MPQ120u.Count","MPQ120u.Cumulative","MPQ120u.Skip.to.Item"
"30","Lower leg - right",126,126,NA
".","Missing",5285,5411,NA
