"URDPMMLC.Code.or.Value","URDPMMLC.Value.Description","URDPMMLC.Count","URDPMMLC.Cumulative","URDPMMLC.Skip.to.Item"
"0","At or above the detection limit",3015,3015,NA
"1","Below lower detection limit",0,3015,NA
".","Missing",264,3279,NA
