"WTSCI30.Code.or.Value","WTSCI30.Value.Description","WTSCI30.Count","WTSCI30.Cumulative","WTSCI30.Skip.to.Item"
"0 to 469625.93484","Range of Values",727,727,NA
".","Missing",51,778,NA
