"DSQTVD.Code.or.Value","DSQTVD.Value.Description","DSQTVD.Count","DSQTVD.Cumulative","DSQTVD.Skip.to.Item"
"0 to 1290","Range of Values",2694,2694,NA
".","Missing",7455,10149,NA
