"BPXSY4.Code.or.Value","BPXSY4.Value.Description","BPXSY4.Count","BPXSY4.Cumulative","BPXSY4.Skip.to.Item"
"82 to 212","Range of Values",324,324,NA
".","Missing",9220,9544,NA
