"URDMALLC.Code.or.Value","URDMALLC.Value.Description","URDMALLC.Count","URDMALLC.Cumulative","URDMALLC.Skip.to.Item"
"0","At or above the detection limit",433,433,NA
"1","Below lower detection limit",2309,2742,NA
".","Missing",89,2831,NA
