"DS1ICAFF.Code.or.Value","DS1ICAFF.Value.Description","DS1ICAFF.Count","DS1ICAFF.Cumulative","DS1ICAFF.Skip.to.Item"
"30.6 to 400","Range of Values",9,9,NA
".","Missing",5897,5906,NA
