"ALQ140U.Code.or.Value","ALQ140U.Value.Description","ALQ140U.Count","ALQ140U.Cumulative","ALQ140U.Skip.to.Item"
"1","Week",189,189,NA
"2","Month",150,339,NA
"3","Year",652,991,NA
"7","Refused",0,991,NA
"9","Don't know",0,991,NA
".","Missing",3751,4742,NA
