"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",109568,109568,NA
"2","Spanish",18352,127920,NA
"3","English and Spanish",1171,129091,NA
"4","Other",50,129141,NA
".","Missing",0,129141,NA
