"WTSBA46.Code.or.Value","WTSBA46.Value.Description","WTSBA46.Count","WTSBA46.Cumulative","WTSBA46.Skip.to.Item"
"0 to 359229.21348","Range of Values",946,946,NA
".","Missing",65,1011,NA
