"CDQ004.Code.or.Value","CDQ004.Value.Description","CDQ004.Count","CDQ004.Cumulative","CDQ004.Skip.to.Item"
"1","STOP OR SLOW DOWN",221,221,""
"2","CONTINUE AT THE SAME PACE",26,247,"CDQ008"
"7","Refused",0,247,"CDQ008"
"9","Don't know",1,248,"CDQ008"
".","Missing",2808,3056,""
