"DS2TSUGR.Code.or.Value","DS2TSUGR.Value.Description","DS2TSUGR.Count","DS2TSUGR.Cumulative","DS2TSUGR.Skip.to.Item"
"0.2 to 36","Range of Values",508,508,NA
".","Missing",8196,8704,NA
