"LBXVTO.Code.or.Value","LBXVTO.Value.Description","LBXVTO.Count","LBXVTO.Cumulative","LBXVTO.Skip.to.Item"
"0.0177 to 24.1","Range of Values",2731,2731,NA
".","Missing",684,3415,NA
