"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 2.494","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
