"AUDTYR66.Code.or.Value","AUDTYR66.Value.Description","AUDTYR66.Count","AUDTYR66.Cumulative","AUDTYR66.Skip.to.Item"
"0 to 1.09","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
