"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.2 to 16500","Range of Values",7606,7606,NA
".","Missing",213,7819,NA
