"LBC123LA.Code.or.Value","LBC123LA.Value.Description","LBC123LA.Count","LBC123LA.Cumulative","LBC123LA.Skip.to.Item"
"0.09 to 0.95","Range of Values",247,247,NA
".","Missing",0,247,NA
