"LBC206LA.Code.or.Value","LBC206LA.Value.Description","LBC206LA.Count","LBC206LA.Cumulative","LBC206LA.Skip.to.Item"
"0.6293 to 24.47","Range of Values",251,251,NA
".","Missing",0,251,NA
