"RFXT016.Code.or.Value","RFXT016.Value.Description","RFXT016.Count","RFXT016.Cumulative","RFXT016.Skip.to.Item"
"124 to 133","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
