"URDUCSLC.Code.or.Value","URDUCSLC.Value.Description","URDUCSLC.Count","URDUCSLC.Cumulative","URDUCSLC.Skip.to.Item"
"0","At or above the detection limit",2372,2372,NA
"1","Below lower detection limit",1,2373,NA
".","Missing",89,2462,NA
