"WBXP017.Code.or.Value","WBXP017.Value.Description","WBXP017.Count","WBXP017.Cumulative","WBXP017.Skip.to.Item"
"-170.5996 to 147.8652","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
