"LB2SIR.Code.or.Value","LB2SIR.Value.Description","LB2SIR.Count","LB2SIR.Cumulative","LB2SIR.Skip.to.Item"
"11 to 240","Range of Values",544,544,NA
".","Missing",2,546,NA
