"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"6 to 768","Range of Values",2586,2586,NA
".","Missing",87,2673,NA
