"DR2ISELE.Code.or.Value","DR2ISELE.Value.Description","DR2ISELE.Count","DR2ISELE.Cumulative","DR2ISELE.Skip.to.Item"
"0 to 598.5","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
