"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.82 to 662.24","Range of Values",2388,2388,NA
".","Missing",74,2462,NA
