"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"0.7 to 5.9","Range of Values",5967,5967,NA
".","Missing",582,6549,NA
