"SMD100NI.Code.or.Value","SMD100NI.Value.Description","SMD100NI.Count","SMD100NI.Cumulative","SMD100NI.Skip.to.Item"
"0.2 to 1.7","Range of Values",989,989,NA
".","Missing",4422,5411,NA
