"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"76 to 226","Range of Values",7276,7276,NA
".","Missing",2268,9544,NA
