"FFQ0043.Code.or.Value","FFQ0043.Value.Description","FFQ0043.Count","FFQ0043.Cumulative","FFQ0043.Skip.to.Item"
1,"Yes",2460,2460,""
2,"No",3277,5737,"FFQ0044"
88,"Blank",275,6012,""
99,"Error",1,6013,""
