"KIQ025.Code.or.Value","KIQ025.Value.Description","KIQ025.Count","KIQ025.Cumulative","KIQ025.Skip.to.Item"
"1","Yes",22,22,NA
"2","No",136,158,NA
"7","Refused",0,158,NA
"9","Don't know",0,158,NA
".","Missing",6060,6218,NA
