"DXXPT28Y.Code.or.Value","DXXPT28Y.Value.Description","DXXPT28Y.Count","DXXPT28Y.Cumulative","DXXPT28Y.Skip.to.Item"
"110.5 to 343","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
