"RHQ290.Code.or.Value","RHQ290.Value.Description","RHQ290.Count","RHQ290.Cumulative","RHQ290.Skip.to.Item"
"15 to 80","Range of Values",564,564,NA
"777","Refused",0,564,NA
"999","Don't know",10,574,NA
".","Missing",3291,3865,NA
