"BMIRECUM.Code.or.Value","BMIRECUM.Value.Description","BMIRECUM.Count","BMIRECUM.Cumulative","BMIRECUM.Skip.to.Item"
"1","Could not obtain",33,33,NA
"3","Not straight",0,33,NA
".","Missing",9511,9544,NA
