"RHQ602U.Code.or.Value","RHQ602U.Value.Description","RHQ602U.Count","RHQ602U.Cumulative","RHQ602U.Skip.to.Item"
"1","Months",2,2,NA
"2","Years",3,5,NA
"7","Refused",0,5,NA
"9","Don't know",0,5,NA
".","Missing",3466,3471,NA
