"BPQ060.Code.or.Value","BPQ060.Value.Description","BPQ060.Count","BPQ060.Cumulative","BPQ060.Skip.to.Item"
"1","Yes",2583,2583,""
"2","No",1689,4272,"End of Section"
"7","Refused",3,4275,"End of Section"
"9","Don't know",152,4427,"End of Section"
".","Missing",2037,6464,""
