"DCQ400.Code.or.Value","DCQ400.Value.Description","DCQ400.Count","DCQ400.Cumulative","DCQ400.Skip.to.Item"
"1","Dirtier than average",139,139,NA
"2","Average",616,755,NA
"3","Cleaner than average",234,989,NA
".","Missing",96,1085,NA
