"DXASPNK.Code.or.Value","DXASPNK.Value.Description","DXASPNK.Count","DXASPNK.Cumulative","DXASPNK.Skip.to.Item"
"1.1134 to 1.1739","Range of Values",3344,3344,NA
".","Missing",364,3708,NA
