"LBDRFO.Code.or.Value","LBDRFO.Value.Description","LBDRFO.Count","LBDRFO.Cumulative","LBDRFO.Skip.to.Item"
"50.3 to 2590","Range of Values",4582,4582,NA
".","Missing",510,5092,NA
