"LBDSPHSI.Code.or.Value","LBDSPHSI.Value.Description","LBDSPHSI.Count","LBDSPHSI.Cumulative","LBDSPHSI.Skip.to.Item"
"0.581 to 3.52","Range of Values",6552,6552,NA
".","Missing",427,6979,NA
