"DS1TVB1.Code.or.Value","DS1TVB1.Value.Description","DS1TVB1.Count","DS1TVB1.Cumulative","DS1TVB1.Skip.to.Item"
"0.1 to 1501","Range of Values",1634,1634,NA
".","Missing",8619,10253,NA
