"AUDTYL51.Code.or.Value","AUDTYL51.Value.Description","AUDTYL51.Count","AUDTYL51.Cumulative","AUDTYL51.Skip.to.Item"
"0 to 3.06","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
