"CBQ550.Code.or.Value","CBQ550.Value.Description","CBQ550.Count","CBQ550.Cumulative","CBQ550.Skip.to.Item"
"1","Yes",5253,5253,NA
"2","No",1073,6326,NA
"7","Refused",0,6326,NA
"9","Don't know",1,6327,NA
".","Missing",3644,9971,NA
