"MCQ250F.Code.or.Value","MCQ250F.Value.Description","MCQ250F.Count","MCQ250F.Cumulative","MCQ250F.Skip.to.Item"
"1","Yes",1541,1541,"MCQ260FA"
"2","No",3576,5117,""
"7","Refused",4,5121,""
"9","Don't know",289,5410,""
".","Missing",5060,10470,""
