"DXXPT42Y.Code.or.Value","DXXPT42Y.Value.Description","DXXPT42Y.Count","DXXPT42Y.Cumulative","DXXPT42Y.Skip.to.Item"
"100.2 to 298.6","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
