"RFXT038.Code.or.Value","RFXT038.Value.Description","RFXT038.Count","RFXT038.Cumulative","RFXT038.Skip.to.Item"
"318 to 327","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
