"URDPMALC.Code.or.Value","URDPMALC.Value.Description","URDPMALC.Count","URDPMALC.Cumulative","URDPMALC.Skip.to.Item"
"0","At or above the detection limit",1426,1426,NA
"1","Below lower detection limit",1589,3015,NA
".","Missing",264,3279,NA
