"URDUMMAL.Code.or.Value","URDUMMAL.Value.Description","URDUMMAL.Count","URDUMMAL.Cumulative","URDUMMAL.Skip.to.Item"
"0","At or above the detection limit",665,665,NA
"1","below lower detection limit",1852,2517,NA
".","Missing",77,2594,NA
