"LBDRPI.Code.or.Value","LBDRPI.Value.Description","LBDRPI.Count","LBDRPI.Cumulative","LBDRPI.Skip.to.Item"
"1 to 2","Range of Values",1757,1757,NA
".","Missing",218,1975,NA
