"AUXRR166.Code.or.Value","AUXRR166.Value.Description","AUXRR166.Count","AUXRR166.Cumulative","AUXRR166.Skip.to.Item"
"-34 to 53","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
