"OPDSGA.Code.or.Value","OPDSGA.Value.Description","OPDSGA.Count","OPDSGA.Cumulative","OPDSGA.Skip.to.Item"
"0","No",2322,2322,NA
"1","Yes",16,2338,NA
".","Missing",596,2934,NA
