"WBXP086.Code.or.Value","WBXP086.Value.Description","WBXP086.Count","WBXP086.Cumulative","WBXP086.Skip.to.Item"
"-173.5847 to 174.6963","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
