"WHQ580.Code.or.Value","WHQ580.Value.Description","WHQ580.Count","WHQ580.Cumulative","WHQ580.Skip.to.Item"
"1","never,",127,127,NA
"2","sometimes, or",441,568,NA
"3","a lot?",122,690,NA
"7","Refused",0,690,NA
"9","Don't know",5,695,NA
".","Missing",732,1427,NA
