"PAD660.Code.or.Value","PAD660.Value.Description","PAD660.Count","PAD660.Cumulative","PAD660.Skip.to.Item"
"10 to 480","Range of Values",2186,2186,NA
"7777","Refused",0,2186,NA
"9999","Don't know",3,2189,NA
".","Missing",7066,9255,NA
