"SPXNFEV5.Code.or.Value","SPXNFEV5.Value.Description","SPXNFEV5.Count","SPXNFEV5.Cumulative","SPXNFEV5.Skip.to.Item"
"392 to 5520","Range of Values",6319,6319,NA
".","Missing",1424,7743,NA
