"DSQTCHL.Code.or.Value","DSQTCHL.Value.Description","DSQTCHL.Count","DSQTCHL.Cumulative","DSQTCHL.Skip.to.Item"
"0 to 1000","Range of Values",650,650,NA
".","Missing",9499,10149,NA
