"WTSBA27.Code.or.Value","WTSBA27.Value.Description","WTSBA27.Count","WTSBA27.Cumulative","WTSBA27.Skip.to.Item"
"0 to 377886.65693","Range of Values",946,946,NA
".","Missing",65,1011,NA
