"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",5,5,NA
"2","No",8827,8832,NA
".","Missing",475,9307,NA
